pair,window_days,mean_corr,std_corr,min_corr,max_corr,frac_sign_flips
SPXUSD/ETHUSD,30,0.3433453396853525,0.15196868780956072,-0.0971292782341761,0.6275115191139953,0.0001344772867862618
SPXUSD/ETHUSD,90,0.3448019398484946,0.13053162556491243,0.12833065358815643,0.553004726477407,0.0
SPXUSD/USDJPY,30,0.01194570416978833,0.22873171583703772,-0.5806309315262448,0.7161461645510443,0.002770232107796993
SPXUSD/USDJPY,90,0.02263360629135541,0.18733252675229328,-0.3978899194727768,0.4459488066660862,0.0012590582244481128
SPXUSD/XAUUSD,30,0.16340176208476673,0.21199899589983004,-0.6581313019889152,0.7214633616409165,0.001801995642935908
SPXUSD/XAUUSD,90,0.15575674840056292,0.1609798657614094,-0.24288976159359094,0.5588426994981273,0.00027979071654402505
ETHUSD/USDJPY,30,-0.030839133262601973,0.1219267282342463,-0.4083442581794547,0.3754909671089798,0.005378946802216126
ETHUSD/USDJPY,90,-0.021694843354595435,0.09524040848433102,-0.27796632847817826,0.2476536645994794,0.0028817637513289685
ETHUSD/XAUUSD,30,0.1220251776034839,0.11441615088425203,-0.2498839400198343,0.48643142292665326,0.0006992818912885613
ETHUSD/XAUUSD,90,0.11202998909496674,0.08655492932931826,-0.08529743478401028,0.3603253448079357,0.0005595814330880501
USDJPY/XAUUSD,30,-0.35798729987951566,0.16123023123405422,-0.7215696110894447,0.017619005078440785,0.0010220273795755897
USDJPY/XAUUSD,90,-0.3528594946139016,0.13627179565115624,-0.6069208222682496,-0.03709504910001984,0.0
