instance_id,family,assets,params,l1_pass,l1_oos_sharpe,l1_oos_return,l1_oos_dd,l1_oos_trades,l1_fail,l2_pass,l2_n_windows,l2_mean_oow_sharpe,l2_path,l2_n_selected,l2_fail,l3_pass,l3_covid_return,l3_covid_untested,l3_postwarmup_return,l3_postwarmup_pass,l3_synth_return,l3_fail,l4_pass,l4_dsr,l4_perm_pvalue,l4_bootstrap_p95_dd,l4_fail,final_survivor,failed_layer,primary_failure_reason,secondary_failure_reason,worst_metric
breakout_egarch_SPXUSD_L24_Q0.4,breakout_egarch,SPXUSD,"{'L': 24, 'Q': 0.4}",False,-0.5103607554935597,-0.14010947201442459,-0.25999156040281124,203,oos_sharpe_ok,False,8,-0.28575908912813225,,0,mean_wf_sharpe_below_min,True,0.0,True,-0.023139528643856155,True,-0.1073970151731366,,False,,,,did_not_reach_layer4,False,1,LOW_OOS_SHARPE,STRESS_UNTESTED,-0.5103607554935597
breakout_egarch_USDJPY_L24_Q0.4,breakout_egarch,USDJPY,"{'L': 24, 'Q': 0.4}",True,0.6579793771600607,0.07863794294925985,-0.10439871939894207,135,,True,8,-0.3818660902315214,selected_winner,1,,True,0.0,True,0.01220130963580468,True,-0.024928629497267152,,False,0.006835242339725936,0.196,-0.3149884405338743,permutation_test_failed,False,4,PERMUTATION_FAIL,STRESS_UNTESTED,0.196
breakout_egarch_XAUUSD_L24_Q0.4,breakout_egarch,XAUUSD,"{'L': 24, 'Q': 0.4}",True,0.7042894796582196,0.2116993483600491,-0.18361347580314236,191,,False,8,-0.9319365335820293,,0,mean_wf_sharpe_below_min,True,0.0,True,0.031226022149720478,True,0.008948291020843824,,False,,,,did_not_reach_layer4,False,2,WALK_FORWARD_INSTABILITY,STRESS_UNTESTED,-0.9319365335820293
breakout_egarch_ETHUSD_L24_Q0.4,breakout_egarch,ETHUSD,"{'L': 24, 'Q': 0.4}",False,-1.0463847651534879,-0.7567053314010002,-0.812690517952045,207,oos_sharpe_ok,False,8,-0.11606905514195631,,0,mean_wf_sharpe_below_min,False,0.0,True,-0.4427826170661101,False,-0.090184289314302,postwarmup_stress_loss_exceeded,False,,,,did_not_reach_layer4,False,1,LOW_OOS_SHARPE,STRESS_UNTESTED,-1.0463847651534879
breakout_egarch_SPXUSD_L24_Q0.6,breakout_egarch,SPXUSD,"{'L': 24, 'Q': 0.6}",False,-0.7403587026922706,-0.1835750970294313,-0.26368674432429673,179,oos_sharpe_ok,False,8,-0.3962107446385975,,1,mean_wf_sharpe_below_min,True,0.0,True,-0.04541643976647536,True,-0.01889699090680519,,False,,,,did_not_reach_layer4,False,1,LOW_OOS_SHARPE,STRESS_UNTESTED,-0.7403587026922706
breakout_egarch_USDJPY_L24_Q0.6,breakout_egarch,USDJPY,"{'L': 24, 'Q': 0.6}",False,0.26510161645655206,0.0259730197550867,-0.08699445108869375,104,oos_sharpe_ok,False,8,-0.5032463934987647,,0,mean_wf_sharpe_below_min,True,0.0,True,0.003743027158295442,True,-0.031149341315848345,,False,,,,did_not_reach_layer4,False,1,LOW_OOS_SHARPE,STRESS_UNTESTED,0.26510161645655206
breakout_egarch_XAUUSD_L24_Q0.6,breakout_egarch,XAUUSD,"{'L': 24, 'Q': 0.6}",True,0.42037774270415734,0.10193307165221621,-0.1955385486214839,166,,False,8,-0.7070200860570544,,1,mean_wf_sharpe_below_min,True,0.0,True,-0.005225747182347806,True,-0.000572758360834813,,False,,,,did_not_reach_layer4,False,2,WALK_FORWARD_INSTABILITY,STRESS_UNTESTED,-0.7070200860570544
breakout_egarch_ETHUSD_L24_Q0.6,breakout_egarch,ETHUSD,"{'L': 24, 'Q': 0.6}",False,-0.28316822581534035,-0.4634703947016309,-0.7406551878552157,158,oos_sharpe_ok,False,8,-0.4816313397576376,,0,mean_wf_sharpe_below_min,False,0.0,True,-0.4427826170661101,False,-0.1251492823288044,postwarmup_stress_loss_exceeded,False,,,,did_not_reach_layer4,False,1,LOW_OOS_SHARPE,STRESS_UNTESTED,-0.28316822581534035
breakout_egarch_SPXUSD_L24_Q0.8,breakout_egarch,SPXUSD,"{'L': 24, 'Q': 0.8}",False,-0.4847515803249758,-0.12718008215898913,-0.25588771103226426,131,oos_sharpe_ok,False,8,-0.713043675317869,,1,mean_wf_sharpe_below_min,True,0.0,True,-0.022782990326757124,True,-0.014169714031277758,,False,,,,did_not_reach_layer4,False,1,LOW_OOS_SHARPE,STRESS_UNTESTED,-0.4847515803249758
breakout_egarch_USDJPY_L24_Q0.8,breakout_egarch,USDJPY,"{'L': 24, 'Q': 0.8}",False,-0.005521383161255778,-0.0050717945569574985,-0.08232382258749393,75,oos_sharpe_ok,False,8,-1.276990138364738,,0,mean_wf_sharpe_below_min,True,0.0,True,0.019699778574352678,True,-0.03168400623441625,,False,,,,did_not_reach_layer4,False,1,LOW_OOS_SHARPE,STRESS_UNTESTED,-0.005521383161255778
