instance_id,regime_type,regime_label,mean_bar_return,n_bars
breakout_egarch_USDJPY_L24_Q0.4,atr_vol,Low,8.948525465050195e-06,12484
breakout_egarch_USDJPY_L24_Q0.4,atr_vol,Normal,1.4636245225833526e-05,13996
breakout_egarch_USDJPY_L24_Q0.4,atr_vol,High,2.2089309392411277e-06,7214
breakout_egarch_USDJPY_L24_Q0.4,atr_vol,Extreme,-5.5457266571729406e-05,4224
breakout_egarch_USDJPY_L24_Q0.4,efficiency_ratio,Choppy,-5.755680314305576e-05,30006
breakout_egarch_USDJPY_L24_Q0.4,efficiency_ratio,Neutral,0.0001652605735367983,9551
breakout_egarch_USDJPY_L24_Q0.4,efficiency_ratio,Trending,0.0005230756592028049,472
breakout_egarch_USDJPY_L24_Q0.4,moving_average,Bear,4.632284072590052e-07,15469
breakout_egarch_USDJPY_L24_Q0.4,moving_average,Bull,3.701248929261361e-06,24608
breakout_egarch_USDJPY_L24_Q0.4,spread_liquidity,Normal,7.3578773987514875e-06,25388
breakout_egarch_USDJPY_L24_Q0.4,spread_liquidity,Wide,9.74598609073375e-06,8248
breakout_egarch_USDJPY_L24_Q0.4,spread_liquidity,Extreme,-3.945368304360616e-05,4282
breakout_egarch_XAUUSD_L24_Q0.8,atr_vol,Low,1.0632949672972744e-05,10789
breakout_egarch_XAUUSD_L24_Q0.8,atr_vol,Normal,7.2003949196932546e-06,13816
breakout_egarch_XAUUSD_L24_Q0.8,atr_vol,High,-9.612694538242965e-06,7479
breakout_egarch_XAUUSD_L24_Q0.8,atr_vol,Extreme,9.244515674207689e-05,4518
breakout_egarch_XAUUSD_L24_Q0.8,efficiency_ratio,Choppy,-8.253753466514748e-05,29424
breakout_egarch_XAUUSD_L24_Q0.8,efficiency_ratio,Neutral,0.0003021066141088574,8952
breakout_egarch_XAUUSD_L24_Q0.8,efficiency_ratio,Trending,0.000843025033905569,337
breakout_egarch_XAUUSD_L24_Q0.8,moving_average,Bear,1.7530490086803452e-05,13000
breakout_egarch_XAUUSD_L24_Q0.8,moving_average,Bull,1.2890689601060683e-05,25761
