instance_id,symbol,vol_quartile,mean_bar_return,n_bars
breakout_egarch_USDJPY_L24_Q0.4,USDJPY,Q1 (calm),-3.017169812691946e-06,10020
breakout_egarch_USDJPY_L24_Q0.4,USDJPY,Q2,4.586497151022635e-06,10019
breakout_egarch_USDJPY_L24_Q0.4,USDJPY,Q3,2.061283420052138e-05,10019
breakout_egarch_USDJPY_L24_Q0.4,USDJPY,Q4 (volatile),-1.2375890348816554e-05,10019
breakout_egarch_XAUUSD_L24_Q0.8,XAUUSD,Q1 (calm),-2.2605358176377566e-05,9691
breakout_egarch_XAUUSD_L24_Q0.8,XAUUSD,Q2,1.057715660372585e-05,9690
breakout_egarch_XAUUSD_L24_Q0.8,XAUUSD,Q3,2.7368253989330483e-05,9690
breakout_egarch_XAUUSD_L24_Q0.8,XAUUSD,Q4 (volatile),4.245107568440953e-05,9690
breakout_egarch_XAUUSD_L48_Q0.4,XAUUSD,Q1 (calm),6.102954301573023e-07,9691
breakout_egarch_XAUUSD_L48_Q0.4,XAUUSD,Q2,-6.268071596742296e-06,9690
breakout_egarch_XAUUSD_L48_Q0.4,XAUUSD,Q3,1.9615323107751703e-05,9690
breakout_egarch_XAUUSD_L48_Q0.4,XAUUSD,Q4 (volatile),2.2570033596423385e-05,9690
breakout_egarch_XAUUSD_L48_Q0.8,XAUUSD,Q1 (calm),-2.907079586628454e-06,9691
breakout_egarch_XAUUSD_L48_Q0.8,XAUUSD,Q2,-3.2575241345957016e-06,9690
breakout_egarch_XAUUSD_L48_Q0.8,XAUUSD,Q3,3.120880959786254e-05,9690
breakout_egarch_XAUUSD_L48_Q0.8,XAUUSD,Q4 (volatile),3.438082375025806e-05,9690
breakout_egarch_XAUUSD_L96_Q0.4,XAUUSD,Q1 (calm),3.811044420403443e-06,9691
breakout_egarch_XAUUSD_L96_Q0.4,XAUUSD,Q2,1.4076600055066366e-05,9690
breakout_egarch_XAUUSD_L96_Q0.4,XAUUSD,Q3,1.3141951977099162e-05,9690
breakout_egarch_XAUUSD_L96_Q0.4,XAUUSD,Q4 (volatile),1.5222195984815292e-05,9690
breakout_egarch_XAUUSD_L168_Q0.4,XAUUSD,Q1 (calm),1.2958212879560561e-05,9691
breakout_egarch_XAUUSD_L168_Q0.4,XAUUSD,Q2,1.0126743217372132e-05,9690
breakout_egarch_XAUUSD_L168_Q0.4,XAUUSD,Q3,1.0930715722869953e-05,9690
breakout_egarch_XAUUSD_L168_Q0.4,XAUUSD,Q4 (volatile),3.3379612786727377e-06,9690
